step,molecule_id,molecule_type,measurement_type,measurement_id,value,equilibrium,deviation
70,0,methane,angle,3,111.253195,109.500000,1.753195
70,0,methane,angle,4,109.837662,109.500000,0.337662
70,0,methane,angle,5,106.996906,109.500000,2.503094
70,1,water,bond,0,0.938034,0.960000,0.021966
70,1,water,bond,1,0.985204,0.960000,0.025204
70,1,water,angle,0,105.289561,104.500000,0.789561
70,2,co2,bond,0,1.162257,1.160000,0.002257
70,2,co2,bond,1,1.156278,1.160000,0.003722
70,2,co2,angle,0,179.347195,180.000000,0.652805
70,3,ammonia,bond,0,0.992166,1.010000,0.017834
70,3,ammonia,bond,1,1.045024,1.010000,0.035024
70,3,ammonia,bond,2,1.017904,1.010000,0.007904
70,3,ammonia,angle,0,108.667541,107.000000,1.667541
70,3,ammonia,angle,1,106.768608,107.000000,0.231392
70,3,ammonia,angle,2,106.286152,107.000000,0.713848
70,4,acetylene,bond,0,1.058172,1.060000,0.001828
70,4,acetylene,bond,1,1.191600,1.200000,0.008400
70,4,acetylene,bond,2,1.074421,1.060000,0.014421
70,4,acetylene,angle,0,179.024829,180.000000,0.975171
70,4,acetylene,angle,1,178.709712,180.000000,1.290288
70,5,hcl,bond,0,1.219651,1.270000,0.050349
75,0,methane,bond,0,1.060396,1.090000,0.029604
75,0,methane,bond,1,1.126128,1.090000,0.036128
75,0,methane,bond,2,1.096207,1.090000,0.006207
75,0,methane,bond,3,1.085484,1.090000,0.004516
75,0,methane,angle,0,106.240301,109.500000,3.259699
75,0,methane,angle,1,111.772307,109.500000,2.272307
75,0,methane,angle,2,110.725096,109.500000,1.225096
75,0,methane,angle,3,111.458709,109.500000,1.958709
75,0,methane,angle,4,109.864528,109.500000,0.364528
75,0,methane,angle,5,106.824444,109.500000,2.675556
75,1,water,bond,0,0.937218,0.960000,0.022782
75,1,water,bond,1,0.986271,0.960000,0.026271
75,1,water,angle,0,105.346954,104.500000,0.846954
75,2,co2,bond,0,1.162291,1.160000,0.002291
75,2,co2,bond,1,1.156667,1.160000,0.003333
75,2,co2,angle,0,179.320923,180.000000,0.679077
75,3,ammonia,bond,0,0.991882,1.010000,0.018118
75,3,ammonia,bond,1,1.048686,1.010000,0.038686
75,3,ammonia,bond,2,1.018281,1.010000,0.008281
75,3,ammonia,angle,0,108.728443,107.000000,1.728443
75,3,ammonia,angle,1,106.751580,107.000000,0.248420
75,3,ammonia,angle,2,106.229365,107.000000,0.770635
75,4,acetylene,bond,0,1.057664,1.060000,0.002336
75,4,acetylene,bond,1,1.191051,1.200000,0.008949
75,4,acetylene,bond,2,1.074016,1.060000,0.014016
75,4,acetylene,angle,0,179.030023,180.000000,0.969977
75,4,acetylene,angle,1,178.671964,180.000000,1.328036
75,5,hcl,bond,0,1.216779,1.270000,0.053221
80,0,methane,bond,0,1.059104,1.090000,0.030896
80,0,methane,bond,1,1.128295,1.090000,0.038295
80,0,methane,bond,2,1.096799,1.090000,0.006799
80,0,methane,bond,3,1.086799,1.090000,0.003201
80,0,methane,angle,0,106.002186,109.500000,3.497814
80,0,methane,angle,1,111.927960,109.500000,2.427960
80,0,methane,angle,2,110.755298,109.500000,1.255298
80,0,methane,angle,3,111.664124,109.500000,2.164124
80,0,methane,angle,4,109.890667,109.500000,0.390667
80,0,methane,angle,5,106.652436,109.500000,2.847564
80,1,water,bond,0,0.936469,0.960000,0.023531
80,1,water,bond,1,0.987400,0.960000,0.027400
80,1,water,angle,0,105.403324,104.500000,0.903324
80,2,co2,bond,0,1.162323,1.160000,0.002323
80,2,co2,bond,1,1.157066,1.160000,0.002934
80,2,co2,angle,0,179.294391,180.000000,0.705609
80,3,ammonia,bond,0,0.991581,1.010000,0.018419
80,3,ammonia,bond,1,1.052407,1.010000,0.042407
80,3,ammonia,bond,2,1.018726,1.010000,0.008726
80,3,ammonia,angle,0,108.787554,107.000000,1.787554
80,3,ammonia,angle,1,106.732333,107.000000,0.267667
80,3,ammonia,angle,2,106.172233,107.000000,0.827767
80,4,acetylene,bond,0,1.057109,1.060000,0.002891
80,4,acetylene,bond,1,1.190512,1.200000,0.009488
80,4,acetylene,bond,2,1.073549,1.060000,0.013549
80,4,acetylene,angle,0,179.037235,180.000000,0.962765
80,4,acetylene,angle,1,178.633464,180.000000,1.366536
80,5,hcl,bond,0,1.213856,1.270000,0.056144
85,0,methane,bond,0,1.057885,1.090000,0.032115
85,0,methane,bond,1,1.130529,1.090000,0.040529
85,0,methane,bond,2,1.097467,1.090000,0.007467
85,0,methane,bond,3,1.088178,1.090000,0.001822
85,0,methane,angle,0,105.764601,109.500000,3.735399
85,0,methane,angle,1,112.083609,109.500000,2.583609
85,0,methane,angle,2,110.785812,109.500000,1.285812
85,0,methane,angle,3,111.869322,109.500000,2.369322
85,0,methane,angle,4,109.916193,109.500000,0.416193
85,0,methane,angle,5,106.480668,109.500000,3.019332
85,1,water,bond,0,0.935788,0.960000,0.024212
85,1,water,bond,1,0.988589,0.960000,0.028589
85,1,water,angle,0,105.458640,104.500000,0.958640
85,2,co2,bond,0,1.162355,1.160000,0.002355
85,2,co2,bond,1,1.157473,1.160000,0.002527
85,2,co2,angle,0,179.267647,180.000000,0.732353
85,3,ammonia,bond,0,0.991266,1.010000,0.018734
85,3,ammonia,bond,1,1.056187,1.010000,0.046187
85,3,ammonia,bond,2,1.019241,1.010000,0.009241
85,3,ammonia,angle,0,108.844548,107.000000,1.844548
85,3,ammonia,angle,1,106.710559,107.000000,0.289441
