step,atom_id,type,fx_lj,fy_lj,fz_lj
125,5,O,-0.000077,-0.000140,0.000011
125,6,H,0.000127,0.000103,-0.000010
125,7,H,-0.000054,0.000039,-0.000002
125,8,O,-0.000068,-0.000002,0.000001
125,9,C,-0.000001,0.000001,0.000001
125,10,O,0.000073,-0.000001,-0.000002
125,11,N,-0.000059,0.000036,0.000087
125,12,H,-0.008029,-0.000237,-0.008563
125,13,H,-0.000016,0.000028,-0.000012
125,14,H,-0.000038,-0.000058,-0.000027
125,15,H,0.008087,0.000230,0.008515
125,16,C,-0.000022,-0.000000,0.000001
125,17,C,0.000033,0.000002,-0.000001
125,18,H,-0.000156,-0.000010,-0.000011
125,19,H,0.000174,0.000009,0.000011
125,20,Cl,0.000026,-0.000000,-0.000001
130,0,C,-0.000009,-0.000021,-0.000022
130,1,H,0.000033,0.000033,0.000028
130,2,H,0.000010,-0.000009,-0.000008
130,3,H,-0.000018,0.000014,-0.000015
130,4,H,-0.000016,-0.000016,0.000018
130,5,O,-0.000078,-0.000140,0.000012
130,6,H,0.000127,0.000103,-0.000010
130,7,H,-0.000053,0.000039,-0.000002
130,8,O,-0.000068,-0.000002,0.000001
130,9,C,-0.000001,0.000001,0.000001
130,10,O,0.000073,-0.000001,-0.000002
130,11,N,-0.000060,0.000037,0.000087
130,12,H,-0.007420,-0.000223,-0.007972
130,13,H,-0.000015,0.000027,-0.000011
130,14,H,-0.000038,-0.000057,-0.000026
130,15,H,0.007478,0.000216,0.007922
130,16,C,-0.000022,-0.000000,0.000001
130,17,C,0.000032,0.000002,-0.000001
130,18,H,-0.000138,-0.000009,-0.000010
130,19,H,0.000155,0.000009,0.000010
130,20,Cl,0.000027,-0.000000,-0.000001
135,0,C,-0.000010,-0.000021,-0.000022
135,1,H,0.000034,0.000033,0.000028
135,2,H,0.000010,-0.000009,-0.000008
135,3,H,-0.000018,0.000013,-0.000015
135,4,H,-0.000016,-0.000016,0.000017
135,5,O,-0.000080,-0.000139,0.000012
135,6,H,0.000127,0.000103,-0.000011
135,7,H,-0.000051,0.000038,-0.000002
135,8,O,-0.000068,-0.000002,0.000001
135,9,C,-0.000000,0.000001,0.000001
135,10,O,0.000072,-0.000001,-0.000002
135,11,N,-0.000062,0.000038,0.000086
135,12,H,-0.006840,-0.000209,-0.007403
135,13,H,-0.000014,0.000025,-0.000011
135,14,H,-0.000037,-0.000056,-0.000026
135,15,H,0.006897,0.000201,0.007353
135,16,C,-0.000021,-0.000000,0.000001
135,17,C,0.000032,0.000002,-0.000001
135,18,H,-0.000121,-0.000009,-0.000009
135,19,H,0.000138,0.000008,0.000010
135,20,Cl,0.000029,-0.000000,-0.000001
140,0,C,-0.000011,-0.000022,-0.000022
140,1,H,0.000034,0.000033,0.000028
140,2,H,0.000009,-0.000009,-0.000008
140,3,H,-0.000018,0.000013,-0.000015
140,4,H,-0.000015,-0.000015,0.000017
140,5,O,-0.000081,-0.000138,0.000013
140,6,H,0.000127,0.000103,-0.000011
140,7,H,-0.000050,0.000037,-0.000002
140,8,O,-0.000068,-0.000002,0.000001
140,9,C,-0.000000,0.000001,0.000001
140,10,O,0.000072,-0.000001,-0.000002
140,11,N,-0.000064,0.000038,0.000086
140,12,H,-0.006290,-0.000196,-0.006860
140,13,H,-0.000014,0.000024,-0.000010
140,14,H,-0.000037,-0.000055,-0.000025
140,15,H,0.006347,0.000188,0.006809
140,16,C,-0.000021,-0.000000,0.000001
140,17,C,0.000032,0.000002,-0.000001
140,18,H,-0.000105,-0.000008,-0.000009
